time_stamp,write_io,read_io
460,0,0
461,0,49152
462,0,0
463,0,16384
464,0,0
465,0,32768
466,0,0
467,0,0
468,0,0
469,0,0
470,0,12288
471,0,8192
472,0,0
473,0,0
474,16384,0
475,0,0
476,0,8192
477,0,0
478,8192,0
479,0,0
480,0,0
481,0,0
482,0,0
483,4096,8192
484,0,24576
485,0,4096
486,0,0
487,0,0
488,0,0
489,0,0
490,4096,0
491,8192,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,0,0
514,0,0
515,0,8192
516,0,12288
517,0,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,0
524,0,0
525,0,0
526,0,0
527,0,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,12288
533,0,8192
534,8192,8192
535,0,4096
536,0,4096
537,0,0
538,0,0
539,0,0
540,0,0
541,0,0
542,0,0
543,0,0
544,0,12288
545,0,0
546,0,438272
547,0,0
548,0,0
549,0,1179648
550,0,65536
551,0,569344
552,0,507904
553,0,1355776
554,0,2596864
555,0,1925120
556,0,0
557,0,811008
558,0,831488
559,0,3481600
560,0,73728
561,0,2191360
562,0,1515520
563,0,3411968
564,0,770048
565,0,1028096
566,0,2289664
567,0,3153920
568,0,4218880
569,0,2658304
570,0,1302528
571,0,561152
572,0,4882432
573,0,57344
574,0,5451776
575,0,0
576,8192,4632576
577,0,1175552
578,0,4349952
579,0,1482752
580,0,2916352
581,0,1880064
582,0,4714496
583,0,794624
584,0,2727936
585,0,872448
586,0,1683456
587,0,1171456
588,0,1892352
589,0,5390336
590,0,1679360
591,0,1413120
592,0,3289088
593,0,692224
594,0,2641920
595,0,1957888
596,0,2207744
597,0,1822720
598,0,2375680
599,0,647168
600,0,1064960
601,0,2367488
602,0,442368
603,0,655360
604,0,454656
605,0,65536
606,0,733184
607,0,507904
608,0,704512
609,0,135168
610,0,159744
611,0,0
612,0,909312
613,0,0
614,0,4096
615,0,942080
616,0,0
617,0,0
618,0,0
619,16384,425984
620,0,0
621,0,0
622,0,327680
623,0,8192
624,0,253952
625,0,0
626,12288,32768
627,184320,0
628,122880,0
629,126976,0
630,425984,7008256
631,81920,1327104
632,241664,1572864
633,344064,0
634,614400,1376256
635,528384,6529024
636,65536,5808128
637,286720,8548352
638,438272,2244608
639,32768,10616832
640,139264,1966080
641,118784,2228224
642,159744,5140480
643,425984,9089024
644,28672,6553600
645,184320,2752512
646,151552,2752512
647,86016,3276800
648,421888,6144000
649,0,8650752
650,0,3276800
651,0,5242880
652,0,3145728
653,0,4980736
654,0,2490368
655,0,7602176
656,0,4980736
657,0,4456448
658,0,2359296
659,0,4063232
660,8192,4456448
661,0,3670016
662,0,5767168
663,0,2621440
664,0,7471104
665,0,4325376
666,0,2883584
667,0,2752512
668,0,5406720
669,0,4456448
670,0,4849664
671,0,4980736
672,0,3801088
673,0,3407872
674,0,4849664
675,0,2650112
676,0,8663040
677,0,2359296
678,0,8257536
679,0,2097152
680,0,4075520
681,0,2752512
682,0,3538944
683,0,4694016
684,0,4980736
685,0,3670016
686,0,5640192
687,0,2228224
688,0,5115904
689,0,1179648
690,0,8654848
691,0,2097152
692,0,5111808
693,0,0
694,0,6422528
695,0,4194304
696,0,4194304
697,0,3276800
698,0,5382144
699,0,4063232
700,0,3145728
701,0,4718592
702,0,6684672
703,8192,3932160
704,0,1400832
705,0,5763072
706,0,2916352
707,0,3915776
708,0,5865472
709,0,5750784
710,0,1146880
711,0,6500352
712,0,2162688
713,0,4001792
714,0,4820992
715,0,4395008
716,0,4202496
717,0,1867776
718,0,6737920
719,0,1179648
720,0,4296704
721,0,4132864
722,0,5169152
723,0,2883584
724,8192,6672384
725,0,2691072
726,0,5324800
727,8192,3473408
728,0,2736128
729,8192,6389760
730,0,3751936
731,4096,3538944
732,4096,4050944
733,0,6471680
734,0,2330624
735,0,3407872
736,0,6643712
737,0,1011712
738,0,5046272
739,0,3395584
740,0,7569408
741,0,1048576
742,0,4571136
743,0,3145728
744,0,5824512
745,8192,4194304
746,0,3952640
747,0,4050944
748,0,4423680
749,0,3334144
750,0,3375104
751,0,4313088
752,0,3608576
753,0,5427200
754,0,2334720
755,0,5992448
756,0,2150400
757,0,4739072
758,0,3178496
759,0,5287936
760,0,3416064
761,0,5767168
762,0,4194304
763,0,2617344
764,0,3010560
765,0,6234112
766,0,2097152
767,0,7188480
768,0,4448256
769,0,7233536
770,0,1310720
771,0,6021120
772,0,524288
773,0,5832704
774,0,3256320
775,0,6283264
776,0,2236416
777,0,5513216
778,0,2424832
779,0,5341184
780,0,4853760
781,16384,6905856
782,0,1839104
783,0,6176768
784,0,1376256
785,0,7012352
786,0,3420160
787,8192,4792320
788,0,6164480
789,0,4722688
790,0,1581056
791,0,6037504
792,0,2633728
793,0,3358720
794,0,2105344
795,0,4579328
796,0,3579904
797,0,2101248
798,0,5312512
799,0,1835008
800,0,2543616
801,0,1773568
802,0,2523136
803,0,8192
804,0,1114112
805,0,0
806,0,299008
807,0,40960
808,0,1384448
809,0,942080
810,0,0
811,0,1380352
812,0,352256
813,0,1286144
814,0,0
815,0,573440
816,0,0
817,0,655360
818,0,1654784
819,0,0
820,192512,2097152
821,352256,8192
822,712704,0
823,471040,7720960
824,16384,12734464
825,0,4292608
826,0,1458176
827,0,2109440
828,0,2113536
829,126976,73728
830,159744,1212416
831,167936,0
832,487424,5513216
833,126976,8036352
834,106496,2109440
835,151552,4227072
836,421888,2097152
837,0,9629696
838,0,2899968
839,36864,3162112
840,176128,3014656
841,237568,2097152
842,450560,12406784
843,131072,7380992
844,122880,3801088
845,167936,1572864
846,421888,10305536
847,0,3850240
848,0,5668864
849,0,3960832
850,0,6422528
851,0,2404352
852,0,4079616
853,0,4472832
854,0,6324224
855,0,4890624
856,0,4341760
857,0,4882432
858,0,3948544
859,0,3145728
860,0,7790592
861,0,1458176
862,0,4866048
863,0,4882432
864,0,3571712
865,0,5165056
866,0,2883584
867,0,4767744
868,0,4874240
869,0,4456448
870,0,5373952
871,8192,2490368
872,0,6029312
873,0,0
874,0,8126464
875,0,2752512
876,0,4874240
877,0,4456448
878,0,6455296
879,0,1310720
880,0,5111808
881,0,6832128
882,0,3538944
883,0,1835008
884,0,9699328
885,0,2097152
886,0,5242880
887,24576,2371584
888,0,4849664
889,0,3932160
890,0,7471104
891,0,2490368
892,0,6029312
893,0,4718592
894,0,3538944
895,0,2097152
896,0,4718592
897,8192,2621440
898,0,6029312
899,0,7061504
900,0,8265728
901,0,4612096
902,0,4067328
903,0,4866048
904,0,5644288
905,0,5017600
906,0,2121728
907,0,5791744
908,0,2375680
909,0,4730880
910,0,1327104
911,0,9056256
912,0,1441792
913,8192,7876608
914,0,0
915,0,2359296
916,0,5378048
917,0,655360
918,0,7102464
919,0,2768896
920,0,5910528
921,0,2633728
922,0,3276800
923,0,5005312
924,0,5242880
925,0,3276800
926,0,5820416
927,0,5406720
928,0,4231168
929,0,1855488
930,0,4251648
931,0,3956736
932,0,5812224
933,0,4587520
934,0,6430720
935,0,2764800
936,0,3809280
937,0,3321856
938,0,2781184
939,0,1048576
940,0,4874240
941,0,2678784
942,0,6754304
943,0,2375680
944,0,2342912
945,0,2789376
946,0,4464640
947,0,1052672
948,0,5656576
949,0,679936
950,0,4194304
951,0,2691072
952,0,3538944
953,0,532480
954,0,2355200
955,0,4169728
956,8192,1318912
957,0,3997696
958,0,2867200
959,0,868352
960,0,3043328
961,0,2486272
962,0,581632
963,0,2813952
964,0,4874240
965,0,4878336
966,0,2818048
967,0,2658304
968,0,978944
969,4096,1814528
970,8192,2015232
971,0,3272704
972,0,1384448
973,0,5566464
974,0,1351680
975,0,2383872
976,0,4083712
977,8192,1413120
978,8192,3272704
979,0,4919296
980,0,2510848
981,0,2510848
982,8192,4218880
983,0,2240512
984,0,4726784
985,0,3194880
986,0,6455296
987,0,1736704
988,0,1671168
989,0,4026368
990,0,4681728
991,0,5120000
992,0,3538944
993,0,5136384
994,0,3985408
995,0,1572864
996,0,3461120
997,0,3538944
998,0,3801088
999,8192,2093056
1000,0,6053888
1001,0,1241088
1002,0,2621440
1003,0,2097152
1004,8192,2732032
1005,0,917504
1006,0,917504
1007,0,4456448
1008,0,925696
1009,0,3993600
1010,53248,524288
1011,147456,3014656
1012,172032,1572864
1013,499712,3493888
1014,0,12873728
1015,0,1179648
1016,0,131072
1017,0,4718592
1018,20480,262144
1019,139264,2768896
1020,368640,0
1021,286720,3538944
1022,577536,475136
1023,454656,11460608
1024,0,10874880
1025,0,4980736
1026,0,3276800
1027,0,1703936
1028,0,3538944
1029,0,1310720
1030,90112,2097152
1031,233472,4194304
1032,544768,655360
1033,0,11800576
1034,0,5373952
1035,0,2752512
1036,0,2359296
1037,36864,4751360
1038,147456,0
1039,110592,4997120
1040,155648,1581056
1041,421888,8503296
1042,0,7733248
1043,0,3014656
1044,0,4718592
1045,106496,1576960
1046,114688,4509696
1047,217088,2113536
1048,430080,3416064
1049,8192,13631488
1050,0,4718592
1051,0,5767168
1052,0,4325376
1053,0,5537792
1054,0,6029312
1055,0,1703936
1056,0,6553600
1057,0,1441792
1058,0,7479296
1059,0,2097152
1060,0,7208960
1061,0,0
1062,0,8650752
1063,0,1441792
1064,0,7864320
1065,0,0
1066,0,7602176
1067,0,0
1068,0,11796480
1069,0,0
1070,0,3538944
1071,0,4063232
1072,0,3932160
1073,0,5373952
1074,0,7208960
1075,0,3047424
1076,0,7229440
1077,0,1835008
1078,0,2502656
1079,0,2129920
1080,0,4485120
1081,0,5509120
1082,0,3813376
1083,8192,3670016
1084,0,2211840
1085,0,3014656
1086,0,3670016
1087,0,1728512
1088,0,2772992
1089,0,0
1090,0,6295552
1091,0,0
1092,0,4001792
1093,0,2097152
1094,0,4800512
1095,0,1310720
1096,0,4849664
1097,0,1708032
1098,0,4063232
1099,0,3153920
1100,0,3276800
1101,0,3432448
1102,0,3932160
1103,0,1339392
1104,8192,2621440
1105,0,3805184
1106,8192,4726784
1107,0,3543040
1108,0,3682304
1109,0,4980736
1110,0,2109440
1111,0,6483968
1112,0,3993600
1113,0,1486848
1114,0,2228224
1115,0,1966080
1116,0,1966080
1117,0,2883584
1118,0,2592768
1119,0,3690496
1120,0,131072
1121,0,3997696
1122,0,786432
1123,0,4325376
1124,0,917504
1125,8192,2621440
1126,0,1323008
1127,0,3145728
1128,0,2490368
1129,0,1441792
1130,0,2228224
1131,0,3014656
1132,0,5636096
1133,0,3014656
1134,0,5795840
1135,0,237568
1136,0,2289664
1137,0,2932736
1138,0,1441792
1139,0,704512
1140,0,1765376
1141,0,720896
1142,0,262144
1143,0,2097152
1144,0,720896
1145,0,1572864
1146,0,131072
1147,0,2097152
1148,0,131072
1149,0,1699840
1150,8192,262144
1151,0,1245184
1152,0,1212416
1153,0,1601536
1154,0,1277952
1155,0,131072
1156,0,131072
1157,0,720896
1158,0,1056768
1159,0,1503232
1160,0,466944
1161,0,3407872
1162,0,884736
1163,0,1847296
1164,0,0
1165,0,2887680
1166,0,0
1167,0,1208320
1168,8192,1429504
1169,0,1589248
1170,4096,655360
1171,0,3108864
1172,0,2195456
1173,0,1941504
1174,0,5701632
1175,0,0
1176,0,1814528
1177,0,2682880
1178,0,2478080
1179,0,3600384
1180,0,3739648
1181,0,3428352
1182,0,2957312
1183,0,741376
1184,0,5812224
1185,0,0
1186,0,6254592
1187,0,1474560
1188,0,4001792
1189,8192,4452352
1190,0,6651904
1191,4096,892928
1192,4096,4145152
1193,0,1966080
1194,0,2764800
1195,0,3452928
1196,0,4063232
1197,0,4538368
1198,0,1974272
1199,0,2363392
1200,0,2097152
1201,0,2228224
1202,4096,3502080
1203,0,929792
1204,0,786432
1205,0,3276800
1206,0,0
1207,0,2228224
1208,0,524288
1209,8192,1748992
1210,0,3284992
1211,122880,0
1212,131072,2760704
1213,143360,212992
1214,471040,1449984
1215,12288,11816960
1216,102400,3563520
1217,114688,2228224
1218,188416,1179648
1219,458752,4562944
1220,0,10776576
1221,176128,8192
1222,253952,1843200
1223,434176,3411968
1224,0,11603968
1225,126976,2891776
1226,167936,5242880
1227,151552,131072
1228,417792,9867264
1229,0,7356416
1230,16384,3670016
1231,0,2752512
1232,0,1327104
1233,0,3960832
1234,8192,2772992
1235,0,3280896
1236,28672,3039232
1237,159744,917504
1238,237568,61440
1239,36864,4456448
1240,417792,2367488
1241,0,3014656
1242,0,0
1243,0,6299648
1244,0,1441792
1245,0,4849664
1246,0,1581056
